id,plate,startts,endts,endlng,endlat,my_id
SHH6WDDPPCMEY,727821,7/26/18 17:05,7/26/18 17:10,-76.979099,38.906586,19
SHH6WDDPPCMEY,727821,7/26/18 17:10,7/26/18 17:15,-76.98027,38.896571,20
XTVQY6RDEIF2Q,679300,7/26/18 8:45,7/26/18 8:50,-77.059188,38.905914,139
XTVQY6RDEIF2Q,679300,7/26/18 11:35,7/26/18 11:40,-77.028025,38.898778,140
XTVQY6RDEIF2Q,679300,7/26/18 13:50,7/26/18 13:55,-77.009356,38.89559,141
EDYEGRFKMGYWH,637299,7/26/18 10:00,7/26/18 10:05,-77.026112,38.882482,195
HB54PT56AO7EI,670682,7/26/18 16:20,7/26/18 16:25,-77.032101,38.891956,331
JQCGUMUB5X2DU,377329,7/26/18 12:30,7/26/18 12:35,-77.026534,38.896137,523
TG4XL27WYJK4G,846723,7/26/18 16:15,7/26/18 16:20,-77.034298,38.884744,647
TG4XL27WYJK4G,846723,7/26/18 17:00,7/26/18 17:05,-77.054829,38.904302,648
4Y4LUG7JQ63S2,511525,7/26/18 15:30,7/26/18 15:35,-77.003196,38.881886,1602
4Y4LUG7JQ63S2,511525,7/26/18 15:50,7/26/18 15:55,-77.001617,38.881255,1603
MINDEKMSQIK5C,177440,7/26/18 10:25,7/26/18 10:30,-77.03393,38.890271,1738
MINDEKMSQIK5C,177440,7/26/18 10:30,7/26/18 10:35,-77.039429,38.889929,1739
GMDTISW2CMPMG,499854,7/26/18 14:05,7/26/18 14:10,-76.978311,38.905062,2119
GMDTISW2CMPMG,499854,7/26/18 17:05,7/26/18 17:10,-76.969808,38.931946,2120
ZNCJYS2WQHGNB,398605,7/26/18 11:20,7/26/18 11:25,-77.040574,38.889911,2625
GTMW6LVAGQ6CO,661043,7/26/18 14:35,7/26/18 14:40,-77.029323,38.89535,2835
XTVQY6RDEIF2Q,679300,7/26/18 6:00,7/26/18 6:05,-77.061025,38.904631,6613
V2G2QAXPGCREB,408310,7/26/18 6:00,7/26/18 6:05,-77.036942,38.926213,6614
MYYKW4HFXHEOV,533805,7/26/18 6:30,7/26/18 6:35,-77.063522,38.902606,6616
2FS7YZZBVGNQI,442793,7/26/18 6:30,7/26/18 6:35,-77.051449,38.902941,6617
WLJFZVDBGRLSB,317763,7/26/18 6:30,7/26/18 6:35,-76.988014,38.919121,6618
FOOMCZ4AAEG2U,232434,7/26/18 6:30,7/26/18 6:35,-77.021776,38.914916,6619
RGU7ZMFTMOKOH,363845,7/26/18 6:35,7/26/18 6:40,-77.011584,38.901981,6620
HB54PT56AO7EI,670682,7/26/18 6:35,7/26/18 6:40,-77.0485,38.899498,6621
RXZPDOLQGELV5,946602,7/26/18 6:35,7/26/18 6:40,-76.995095,38.933729,6622
C3V3BUKN6WGV4,324913,7/26/18 6:40,7/26/18 6:45,-77.027834,38.904379,6623
IEA6W32YCSEZS,412306,7/26/18 6:40,7/26/18 6:45,-77.051618,38.923668,6624
5QCW36RIGKI3I,188920,7/26/18 6:45,7/26/18 6:50,-77.032011,38.914243,6625
KF5NEUHERMTQT,478947,7/26/18 6:45,7/26/18 6:50,-77.037919,38.901261,6626
YELWETKAJZUXE,695410,7/26/18 7:10,7/26/18 7:15,-77.065198,38.909782,6627
FOOMCZ4AAEG2U,232434,7/26/18 7:10,7/26/18 7:15,-77.026005,38.900255,6628
65N7XMUXMEE4R,421448,7/26/18 7:10,7/26/18 7:15,-76.994057,38.921706,6629
SBEXQ3LOLCHFB,224775,7/26/18 7:15,7/26/18 7:20,-77.022115,38.900871,6630
4Y4LUG7JQ63S2,511525,7/26/18 7:15,7/26/18 7:20,-77.048875,38.900704,6631
FOOMCZ4AAEG2U,232434,7/26/18 7:15,7/26/18 7:20,-77.03146,38.903692,6632
22EFIC5BGGP3F,924673,7/26/18 7:15,7/26/18 7:20,-77.050431,38.904518,6633
2FI5JE23VV5IL,292652,7/26/18 7:15,7/26/18 7:20,-77.04048,38.912899,6634
65N7XMUXMEE4R,421448,7/26/18 7:15,7/26/18 7:20,-77.000709,38.912104,6635
GTMW6LVAGQ6CO,661043,7/26/18 7:15,7/26/18 7:20,-77.029858,38.907213,6636
SK2FWGSCL26SV,882721,7/26/18 7:35,7/26/18 7:40,-77.024276,38.897904,6637
CRJPVW3UZMQQ2,621118,7/26/18 8:25,7/26/18 8:30,-77.03965,38.896616,6638
5GVCTW43QHZZK,900307,7/26/18 8:25,7/26/18 8:30,-77.059773,38.902012,6639
ZC66TYC3IGPMA,955753,7/26/18 8:30,7/26/18 8:35,-76.994009,38.921625,6640
CRJPVW3UZMQQ2,621118,7/26/18 8:35,7/26/18 8:40,-77.022071,38.890484,6641
KRKWO7JXPCLWS,395278,7/26/18 8:35,7/26/18 8:40,-77.027882,38.887356,6642
LUVOIJH2M2WGH,328713,7/26/18 8:35,7/26/18 8:40,-77.046621,38.900957,6643
CRJPVW3UZMQQ2,621118,7/26/18 8:45,7/26/18 8:50,-77.006309,38.887557,6644
KRKWO7JXPCLWS,395278,7/26/18 8:45,7/26/18 8:50,-77.005743,38.891979,6645
