id,plate,startts,endts,startlng,startlat,my_id
SHH6WDDPPCMEY,727821,7/26/18 17:05,7/26/18 17:10,-76.978606,38.916989,19
SHH6WDDPPCMEY,727821,7/26/18 17:10,7/26/18 17:15,-76.979099,38.906586,20
XTVQY6RDEIF2Q,679300,7/26/18 8:45,7/26/18 8:50,-77.063706,38.908388,139
XTVQY6RDEIF2Q,679300,7/26/18 11:35,7/26/18 11:40,-77.02933,38.901381,140
XTVQY6RDEIF2Q,679300,7/26/18 13:50,7/26/18 13:55,-77.016934,38.896225,141
EDYEGRFKMGYWH,637299,7/26/18 10:00,7/26/18 10:05,-77.022086,38.888797,195
HB54PT56AO7EI,670682,7/26/18 16:20,7/26/18 16:25,-77.028907,38.888789,331
JQCGUMUB5X2DU,377329,7/26/18 12:30,7/26/18 12:35,-77.027845,38.889996,523
TG4XL27WYJK4G,846723,7/26/18 16:15,7/26/18 16:20,-77.021782,38.878061,647
TG4XL27WYJK4G,846723,7/26/18 17:00,7/26/18 17:05,-77.049784,38.900991,648
4Y4LUG7JQ63S2,511525,7/26/18 15:30,7/26/18 15:35,-76.994814,38.881352,1602
4Y4LUG7JQ63S2,511525,7/26/18 15:50,7/26/18 15:55,-77.003953,38.881341,1603
MINDEKMSQIK5C,177440,7/26/18 10:25,7/26/18 10:30,-77.031835,38.890381,1738
MINDEKMSQIK5C,177440,7/26/18 10:30,7/26/18 10:35,-77.03393,38.890271,1739
GMDTISW2CMPMG,499854,7/26/18 14:05,7/26/18 14:10,-76.98071,38.90078,2119
GMDTISW2CMPMG,499854,7/26/18 17:05,7/26/18 17:10,-76.968548,38.922382,2120
ZNCJYS2WQHGNB,398605,7/26/18 11:20,7/26/18 11:25,-77.037589,38.890509,2625
GTMW6LVAGQ6CO,661043,7/26/18 14:35,7/26/18 14:40,-77.030415,38.895376,2835
XTVQY6RDEIF2Q,679300,7/26/18 6:00,7/26/18 6:05,-77.06168,38.905263,6613
V2G2QAXPGCREB,408310,7/26/18 6:00,7/26/18 6:05,-77.020573,38.930177,6614
MYYKW4HFXHEOV,533805,7/26/18 6:30,7/26/18 6:35,-77.062534,38.902313,6616
2FS7YZZBVGNQI,442793,7/26/18 6:30,7/26/18 6:35,-77.061785,38.905254,6617
WLJFZVDBGRLSB,317763,7/26/18 6:30,7/26/18 6:35,-76.992031,38.919613,6618
FOOMCZ4AAEG2U,232434,7/26/18 6:30,7/26/18 6:35,-77.028595,38.916924,6619
RGU7ZMFTMOKOH,363845,7/26/18 6:35,7/26/18 6:40,-77.010569,38.898167,6620
HB54PT56AO7EI,670682,7/26/18 6:35,7/26/18 6:40,-77.049501,38.902357,6621
RXZPDOLQGELV5,946602,7/26/18 6:35,7/26/18 6:40,-76.995653,38.933107,6622
C3V3BUKN6WGV4,324913,7/26/18 6:40,7/26/18 6:45,-77.028412,38.907894,6623
IEA6W32YCSEZS,412306,7/26/18 6:40,7/26/18 6:45,-77.032592,38.928662,6624
5QCW36RIGKI3I,188920,7/26/18 6:45,7/26/18 6:50,-77.032013,38.917447,6625
