date,time
2018-11-05,06:20:49
2018-11-05,06:29:49
2018-11-05,06:40:48.5
2018-11-05,06:50:19.5
2018-11-05,07:00:18.5
2018-11-05,07:10:19
2018-11-05,07:23:49
2018-11-05,07:38:19.5
2018-11-05,07h42
2018-11-05,07:57:19
2018-11-05,07h57
2018-11-05,08:03:19
2018-11-05,08:06:19
2018-11-05,08:12:19.5
2018-11-05,08h12
2018-11-05,08:21:20.5
2018-11-05,08:22:18.5
2018-11-05,08:26:20.5
2018-11-05,08:29:18.5
2018-11-05,08:31:18.5
2018-11-05,08:35:18
2018-11-05,08:36:18
2018-11-05,08:41:18
2018-11-05,08:46:19
2018-11-05,08:52:18.5
2018-11-05,08h55
2018-11-05,08h58
2018-11-05,09:01:18.5
2018-11-05,09:09:18
2018-11-05,09:09:18
2018-11-05,09:15:18
2018-11-05,09:20:18
2018-11-05,09:23:48.5
2018-11-05,09:29:19
2018-11-05,09:34:19
2018-11-05,09:40:20
2018-11-05,09:49:18.5
2018-11-05,09:53:20
2018-11-05,09h58
2018-11-05,10:04:19
2018-11-05,10:05:49.5
2018-11-05,10:16:19
2018-11-05,10:24:19
2018-11-05,10:25:18.5
2018-11-05,10:30:22
2018-11-05,10:38:48.5
2018-11-05,10:45:19
2018-11-05,10:52:18.5
2018-11-05,10:59:18.5
2018-11-05,11:06:18
2018-11-05,11:14:05.5
2018-11-05,11:17:19
2018-11-05,11:22:49
2018-11-05,11:33:34
2018-11-05,11:36:19
2018-11-05,11:46:18.5
2018-11-05,11:47:49
2018-11-05,11:58:18
2018-11-05,12:04:18
2018-11-05,12:07:18.5
2018-11-05,12:13:18.5
2018-11-05,12:19:18.5
2018-11-05,12:23:18.5
2018-11-05,12:30:18
2018-11-05,12:40:18
2018-11-05,12:44:48
2018-11-05,12:53:18.5
2018-11-05,12:58:19
2018-11-05,13:07:48
2018-11-05,13:19:18
2018-11-05,13:25:19
2018-11-05,13:30:18.5
2018-11-05,13:34:19
2018-11-05,13:40:18.5
2018-11-05,13:49:48
2018-11-05,13:51:48.5
2018-11-05,14:04:19
2018-11-05,14:10:18.5
2018-11-05,14:15:18
2018-11-05,14:21:19
2018-11-05,14:28:19
2018-11-05,14:34:49.5
2018-11-05,14:47:49.5
2018-11-05,15:01:34.5
2018-11-05,15:10:19
2018-11-05,15:17:50
2018-11-05,15:28:34.5
2018-11-05,15h35
2018-11-05,15:46:19
2018-11-05,15:50:18.5
2018-11-05,15:55:19
2018-11-05,16:04:18.5
2018-11-05,16:08:18.5
2018-11-05,16:13:19
2018-11-05,16:19:20
2018-11-05,16:30:23
2018-11-05,16:35:19
2018-11-05,16:44:19
2018-11-05,16:54:50
2018-11-05,17:02:49.5
2018-11-05,17:14:19
2018-11-05,17:23:19
2018-11-05,17:32:19
2018-11-05,17:43:19
2018-11-05,17h52
2018-11-05,18:01:19
2018-11-05,18:12:49
2018-11-05,18:22:19
2018-11-05,18:30:48.5
2018-11-05,18:38:18.5
2018-11-05,18:47:48.5
2018-11-05,18:56:18
2018-11-05,19:04:18.5
