origin,destination,count,transitsharepct
Ahuntsic-Cartierville,Ahuntsic-Cartierville,64600,20
Ahuntsic-Cartierville,Ville-Marie,20700,73
Ahuntsic-Cartierville,Saint-Laurent,11300,22
Ahuntsic-Cartierville,Laval,10700,9
Ahuntsic-Cartierville,Villeray-Saint-Michel-Parc-Extension,8500,29
Ahuntsic-Cartierville,Rosemont-La Petite-Patrie,6700,34
Ahuntsic-Cartierville,Cote-des-Neiges-Notre-Dame-de-Grace,6400,62
Ahuntsic-Cartierville,Plateau-Mont-Royal,5700,47
Ahuntsic-Cartierville,Montreal-Nord,4800,24
Ahuntsic-Cartierville,Mercier-Hochelaga-Maisonneuve,2500,38
Ahuntsic-Cartierville,Rive-Nord,2100,0
Ahuntsic-Cartierville,Longueuil,1600,13
Ahuntsic-Cartierville,Outremont,1500,41
Ahuntsic-Cartierville,Mont-Royal,1500,18
Ahuntsic-Cartierville,Anjou,1300,14
Ahuntsic-Cartierville,Sud-Ouest,1200,52
Ahuntsic-Cartierville,Saint-Leonard,1200,26
Ahuntsic-Cartierville,Riviere-des-Prairies-Pointe-Aux-Trembles,1000,21
Ahuntsic-Cartierville,Dorval,900,0
Ahuntsic-Cartierville,Verdun,800,48
Laval,Ahuntsic-Cartierville,23900,18
Villeray-Saint-Michel-Parc-Extension,Ahuntsic-Cartierville,14800,34
Rive-Nord,Ahuntsic-Cartierville,13600,15
Saint-Laurent,Ahuntsic-Cartierville,12600,23
Montreal-Nord,Ahuntsic-Cartierville,7900,30
Rosemont-La Petite-Patrie,Ahuntsic-Cartierville,5700,33
Cote-des-Neiges-Notre-Dame-de-Grace,Ahuntsic-Cartierville,4200,31
Longueuil,Ahuntsic-Cartierville,3700,36
Rive-Sud,Ahuntsic-Cartierville,3500,19
Plateau-Mont-Royal,Ahuntsic-Cartierville,3400,42
Riviere-des-Prairies-Pointe-Aux-Trembles,Ahuntsic-Cartierville,2900,23
Mercier-Hochelaga-Maisonneuve,Ahuntsic-Cartierville,2900,33
Saint-Leonard,Ahuntsic-Cartierville,2000,31
Pierrefonds-Roxboro,Ahuntsic-Cartierville,1800,19
Ville-Marie,Ahuntsic-Cartierville,1500,59
Mont-Royal,Ahuntsic-Cartierville,1500,17
Dollard-des-Ormeaux,Ahuntsic-Cartierville,1400,7
LaSalle,Ahuntsic-Cartierville,1300,24
Anjou,Ahuntsic-Cartierville,1200,29
Outremont,Ahuntsic-Cartierville,1000,20
Sud-Ouest,Ahuntsic-Cartierville,900,50
Verdun,Ahuntsic-Cartierville,800,24
Cote-Saint-Luc,Ahuntsic-Cartierville,800,19
Anjou,Anjou,17100,8
Anjou,Mercier-Hochelaga-Maisonneuve,7600,26
Anjou,Ville-Marie,4700,67
Anjou,Saint-Leonard,4600,16
Anjou,Rosemont-La Petite-Patrie,3200,22
Anjou,Riviere-des-Prairies-Pointe-Aux-Trembles,1800,18
Anjou,Cote-des-Neiges-Notre-Dame-de-Grace,1700,50
Anjou,Plateau-Mont-Royal,1200,25
Anjou,Villeray-Saint-Michel-Parc-Extension,1200,23
Anjou,Montreal-Nord,1000,21
Anjou,Longueuil,900,8
Anjou,Rive-Nord,900,0
Anjou,Laval,800,0
Anjou,Saint-Laurent,800,33
Riviere-des-Prairies-Pointe-Aux-Trembles,Anjou,9600,9
Mercier-Hochelaga-Maisonneuve,Anjou,9200,11
Rive-Nord,Anjou,8800,2
Saint-Leonard,Anjou,7000,18
Rosemont-La Petite-Patrie,Anjou,4100,17
Montreal-Nord,Anjou,4100,16
Villeray-Saint-Michel-Parc-Extension,Anjou,3600,26
Laval,Anjou,3400,7
Longueuil,Anjou,2000,5
Rive-Sud,Anjou,1800,2
Cote-des-Neiges-Notre-Dame-de-Grace,Cote-des-Neiges-Notre-Dame-de-Grace,94300,34
Cote-des-Neiges-Notre-Dame-de-Grace,Ville-Marie,41300,69
Cote-des-Neiges-Notre-Dame-de-Grace,Saint-Laurent,9200,37
Cote-des-Neiges-Notre-Dame-de-Grace,Plateau-Mont-Royal,8000,44
Cote-des-Neiges-Notre-Dame-de-Grace,Outremont,7100,30
